DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2/10/2021 00:00:00,4.1,6744.4,39,24.6,94,1008,4,7078,5906
2/10/2021 00:00:00,4.1,7949.5,39,24.6,94,1008,4,7078,5906
2/10/2021 00:15:00,4.1,6622.2,38,24.6,94,1008,4.5,11209,8721
2/10/2021 00:15:00,4.1,7926.1,38,24.6,94,1008,4.5,11209,8721
2/10/2021 00:30:00,4,6522.1,35,24.5,94,1008,4.6,11467,11973
2/10/2021 00:30:00,4,7751.9,35,24.5,94,1008,4.6,11467,11973
2/10/2021 00:45:00,3.9,6423.3,32,24.5,95,1008,4.7,11235,12037
2/10/2021 00:45:00,3.9,7577.7,32,24.5,95,1008,4.7,11235,12037
2/10/2021 01:00:00,3.9,6323.2,29,24.4,95,1008,4.3,9112,8612
2/10/2021 01:00:00,3.9,7403.5,29,24.4,95,1008,4.3,9112,8612
2/10/2021 01:15:00,3.8,6243.9,28,24.4,95,1008,3.9,6847,6830
2/10/2021 01:15:00,3.8,7269.6,28,24.4,95,1008,3.9,6847,6830
2/10/2021 01:30:00,3.8,6185.4,27,24.3,95,1008,3.2,3662,4526
2/10/2021 01:30:00,3.8,7177.3,27,24.3,95,1008,3.2,3662,4526
2/10/2021 01:45:00,3.8,6125.6,25,24.3,95,1008,3,2719,2976
2/10/2021 01:45:00,3.8,7085,25,24.3,95,1008,3,2719,2976
2/10/2021 02:00:00,3.8,6067.1,23,24.2,95,1008,3.3,3067,1666
2/10/2021 02:00:00,3.8,6992.7,23,24.2,95,1008,3.3,3067,1666
2/10/2021 02:15:00,3.8,6060.6,23,24.2,95,1008,3,2048,2467
2/10/2021 02:15:00,3.8,6866.6,23,24.2,95,1008,3,2048,2467
2/10/2021 02:30:00,3.8,6107.4,22,24.1,95,1008,2.9,1591,1792
2/10/2021 02:30:00,3.8,6708,22,24.1,95,1008,2.9,1591,1792
2/10/2021 02:45:00,3.8,6154.2,22,24.1,95,1008,2.6,1492,1041
2/10/2021 02:45:00,3.8,6548.1,22,24.1,95,1008,2.6,1492,1041
2/10/2021 03:00:00,3.7,6201,20,24,95,1008,3.1,2883,2284
2/10/2021 03:00:00,3.7,6389.5,20,24,95,1008,3.1,2883,2284
2/10/2021 03:15:00,3.7,6308.9,20,24,95,1008,3.4,4376,3466
2/10/2021 03:15:00,3.7,6333.6,20,24,95,1008,3.4,4376,3466
2/10/2021 03:30:00,3.7,6305,20,24,95,1008,3.9,6745,5657
2/10/2021 03:30:00,3.7,6553.3,20,24,95,1008,3.9,6745,5657
2/10/2021 03:45:00,3.7,6301.1,20,24,95,1008,3.4,3965,5505
2/10/2021 03:45:00,3.7,6773,20,24,95,1008,3.4,3965,5505
2/10/2021 04:00:00,3.7,6297.2,20,24,95,1008,3,2679,2220
2/10/2021 04:00:00,3.7,6992.7,20,24,95,1008,3,2679,2220
2/10/2021 04:15:00,3.8,6425.9,22,24,95,1008,3.1,2518,1124
2/10/2021 04:15:00,3.8,7137,22,24,95,1008,3.1,2518,1124
2/10/2021 04:30:00,3.9,6685.9,23,24,95,1008,3.1,2647,2837
2/10/2021 04:30:00,3.9,7207.2,23,24,95,1008,3.1,2647,2837
2/10/2021 04:45:00,3.9,6944.6,24,24,95,1009,3.7,6252,4988
2/10/2021 04:45:00,3.9,7276.1,24,24,95,1009,3.7,6252,4988
2/10/2021 05:00:00,4.1,7204.6,25,24,95,1009,3.5,4161,4950
2/10/2021 05:00:00,4.1,7346.3,25,24,95,1009,3.5,4161,4950
2/10/2021 05:15:00,4.2,7330.7,27,24,95,1009,3.4,3861,2747
2/10/2021 05:15:00,4.2,7372.3,27,24,95,1009,3.4,3861,2747
2/10/2021 05:30:00,4.2,7229.3,28,24,95,1009,3.9,7266,5744
2/10/2021 05:30:00,4.2,7446.4,28,24,95,1009,3.9,7266,5744
2/10/2021 05:45:00,4.4,7127.9,30,24.1,95,1009,3.7,5560,5294
2/10/2021 05:45:00,4.4,7520.5,30,24.1,95,1009,3.7,5560,5294
2/10/2021 06:00:00,4.4,7026.5,31,24.1,95,1009,3.5,5359,5139
2/10/2021 06:00:00,4.4,7594.6,31,24.1,95,1009,3.5,5359,5139
2/10/2021 06:15:00,4.5,6934.2,32,24.2,94,1009,3.1,3218,3207
2/10/2021 06:15:00,4.5,7582.9,32,24.2,94,1009,3.1,3218,3207
2/10/2021 06:30:00,4.4,6849.7,33,24.5,93,1009,3.1,2808,2449
2/10/2021 06:30:00,4.4,7484.1,33,24.5,93,1009,3.1,2808,2449
2/10/2021 06:45:00,4.3,6765.2,33,24.7,92,1010,3.2,3078,2534
2/10/2021 06:45:00,4.3,7385.3,33,24.7,92,1010,3.2,3078,2534
2/10/2021 07:00:00,4.2,6680.7,33,25,91,1010,2.8,1764,1231
2/10/2021 07:00:00,4.2,7286.5,33,25,91,1010,2.8,1764,1231
2/10/2021 07:15:00,4.2,6255.6,35,25.3,89,1010,2.6,1405,517
2/10/2021 07:15:00,4.2,6917.3,35,25.3,89,1010,2.6,1405,517
2/10/2021 07:30:00,4.3,5489.9,39,25.6,87,1010,2.8,2590,1928
2/10/2021 07:30:00,4.3,6276.4,39,25.6,87,1010,2.8,2590,1928
2/10/2021 07:45:00,4.3,4724.2,42,25.9,85,1010,3.2,3235,3532
2/10/2021 07:45:00,4.3,5636.8,42,25.9,85,1010,3.2,3235,3532
2/10/2021 08:00:00,4.5,3958.5,46,26.2,83,1010,3.2,3372,3112
2/10/2021 08:00:00,4.5,4995.9,46,26.2,83,1010,3.2,3372,3112
2/10/2021 08:15:00,4.4,3680.3,49,26.4,82,1010,3.2,3468,3534
2/10/2021 08:15:00,4.4,4674.8,49,26.4,82,1010,3.2,3468,3534
2/10/2021 08:30:00,4.4,3889.6,51,26.6,81,1010,2.8,2079,1203
2/10/2021 08:30:00,4.4,4672.2,51,26.6,81,1010,2.8,2079,1203
2/10/2021 08:45:00,4.4,4098.9,53,26.8,80,1011,2.5,971,793
2/10/2021 08:45:00,4.4,4670.9,53,26.8,80,1011,2.5,971,793
2/10/2021 09:00:00,4.4,4308.2,55,27,79,1011,2.6,1332,302
2/10/2021 09:00:00,4.4,4668.3,55,27,79,1011,2.6,1332,302
2/10/2021 09:15:00,4.3,4479.8,56,27.2,78,1011,2.3,621,234
2/10/2021 09:15:00,4.3,4650.1,56,27.2,78,1011,2.3,621,234
2/10/2021 09:30:00,4.4,4615,58,27.4,77,1011,3,528,181
2/10/2021 09:30:00,4.4,4617.6,58,27.4,77,1011,3,528,181
2/10/2021 09:45:00,4.4,4583.8,58,27.5,76,1011,2.9,611,54
2/10/2021 09:45:00,4.4,4748.9,58,27.5,76,1011,2.9,611,54
2/10/2021 10:00:00,4.4,4551.3,60,27.7,75,1011,3.2,1060,873
2/10/2021 10:00:00,4.4,4884.1,60,27.7,75,1011,3.2,1060,873
2/10/2021 10:15:00,4.4,4564.3,60,27.9,74,1011,3.2,1366,304
2/10/2021 10:15:00,4.4,4936.1,60,27.9,74,1011,3.2,1366,304
2/10/2021 10:30:00,4.5,4625.4,61,28.2,73,1011,3.3,1272,740
2/10/2021 10:30:00,4.5,4906.2,61,28.2,73,1011,3.3,1272,740
2/10/2021 10:45:00,4.4,4686.5,62,28.4,71,1010,3.2,1129,215
2/10/2021 10:45:00,4.4,4875,62,28.4,71,1010,3.2,1129,215
2/10/2021 11:00:00,4.5,4747.6,62,28.7,70,1010,3.4,1680,455
2/10/2021 11:00:00,4.5,4845.1,62,28.7,70,1010,3.4,1680,455
2/10/2021 11:15:00,4.5,4845.1,62,28.9,69,1010,3.1,2030,1769
2/10/2021 11:15:00,4.5,4863.3,62,28.9,69,1010,3.1,2030,1769
2/10/2021 11:30:00,4.5,4930.9,63,29.1,68,1010,3.4,2353,596
2/10/2021 11:30:00,4.5,4980.3,63,29.1,68,1010,3.4,2353,596
2/10/2021 11:45:00,4.4,4999.8,63,29.3,67,1010,3.9,3671,2581
2/10/2021 11:45:00,4.4,5116.8,63,29.3,67,1010,3.9,3671,2581
2/10/2021 12:00:00,4.3,5067.4,64,29.5,66,1010,3.1,1432,1751
2/10/2021 12:00:00,4.3,5252,64,29.5,66,1010,3.1,1432,1751
2/10/2021 12:15:00,4.3,5189.6,64,29.7,65,1010,3.9,3076,2192
2/10/2021 12:15:00,4.3,5395,64,29.7,65,1010,3.9,3076,2192
2/10/2021 12:30:00,4.4,5366.4,66,29.8,64,1010,3.8,2790,1605
2/10/2021 12:30:00,4.4,5544.5,66,29.8,64,1010,3.8,2790,1605
2/10/2021 12:45:00,4.3,5544.5,67,29.9,64,1009,4.1,4137,2473
2/10/2021 12:45:00,4.3,5694,67,29.9,64,1009,4.1,4137,2473
2/10/2021 13:00:00,4.4,5721.3,69,30,63,1009,4.2,4928,4019
2/10/2021 13:00:00,4.4,5843.5,69,30,63,1009,4.2,4928,4019
2/10/2021 13:15:00,4.5,5960.5,70,30,63,1009,5.1,8449,4396
2/10/2021 13:15:00,4.5,6184.1,70,30,63,1009,5.1,8449,4396
2/10/2021 13:30:00,4.6,6262.1,72,30,63,1009,4.6,7496,7559
2/10/2021 13:30:00,4.6,6714.5,72,30,63,1009,4.6,7496,7559
2/10/2021 13:45:00,4.8,6565,74,29.9,63,1008,5.4,11573,8469
2/10/2021 13:45:00,4.8,7246.2,74,29.9,63,1008,5.4,11573,8469
2/10/2021 14:00:00,4.9,6866.6,76,29.9,63,1008,5.4,11359,8263
2/10/2021 14:00:00,4.9,7776.6,76,29.9,63,1008,5.4,11359,8263
